Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	4:36 1/6/2019	122
Jim	4:36 1/6/2019	119
Tom	4:36 1/6/2019	111
Lana	4:36 1/6/2019	162
Mike	4:38 1/6/2019	189
Jim	4:38 1/6/2019	108
Mike	4:38 1/6/2019	119
Jim	4:38 1/6/2019	123
Mike	4:43 1/6/2019	133
Jim	4:43 1/6/2019	136
TomH	4:43 1/6/2019	150
Lana	4:43 1/6/2019	130
Mike	4:50 1/6/2019	118
Jim	4:50 1/6/2019	122
Tom	4:50 1/6/2019	120
Lana	4:50 1/6/2019	142
TomH	4:51 1/6/2019	153
Mike	4:54 1/6/2019	124
Jim	4:54 1/6/2019	129
Mike	4:56 1/6/2019	164
Jim	4:56 1/6/2019	181
Mike	5:13 1/6/2019	141
Jim	5:13 1/6/2019	117
Mike	5:13 1/6/2019	162
Lana	5:13 1/6/2019	152
TomH	5:13 1/6/2019	118
Sahu	5:13 1/6/2019	135
Lana	5:14 1/6/2019	169
TomH	5:14 1/6/2019	114
Jim	5:19 1/6/2019	124
Tom	5:19 1/6/2019	164
Lana	5:35 1/6/2019	125
TomH	5:35 1/6/2019	124
TomH	6:51 1/6/2019	127
Lana	6:51 1/6/2019	164
